hhid,HV002,HV005,HV009,HV014,HV021,HV022,HV023,HV206,HV237,HV237B,HML1,SH125A,HH_edu,HH_res,SES
        1  3,3,460654,7,2,1,10,5,0,0,0,1,0,Primary,Rural,Second
        1  4,4,460654,7,1,1,10,5,0,0,0,3,0,No_education,Rural,Lowest
        1 12,12,460654,5,0,1,10,5,0,0,0,0,0,No_education,Rural,Lowest
        1 17,17,460654,3,1,1,10,5,0,1,1,1,0,Primary,Rural,Fourth
        1 27,27,460654,4,1,1,10,5,0,1,0,2,0,Higher_than,Rural,Second
        1 28,28,460654,6,2,1,10,5,0,1,0,2,0,Primary,Rural,Lowest
        1 60,60,460654,5,0,1,10,5,0,1,0,3,0,Primary,Rural,Lowest
        1 63,63,460654,6,1,1,10,5,0,0,0,2,0,No_education,Rural,Second
        1 75,75,460654,6,1,1,10,5,0,0,0,2,0,Primary,Rural,Second
        1 86,86,460654,2,0,1,10,5,0,1,0,0,0,No_education,Rural,Lowest
        1107,107,460654,5,1,1,10,5,0,1,0,0,0,Primary,Rural,Second
        1134,134,460654,8,3,1,10,5,0,0,0,2,0,Primary,Rural,Lowest
        1137,137,460654,9,3,1,10,5,0,0,0,1,0,Primary,Rural,Second
        1138,138,460654,10,3,1,10,5,0,1,0,2,0,Primary,Rural,Middle
        1140,140,460654,7,2,1,10,5,0,1,0,0,0,Primary,Rural,Second
        1144,144,460654,10,1,1,10,5,0,1,0,1,0,Secondary,Rural,Middle
        1145,145,460654,2,0,1,10,5,0,1,0,0,0,No_education,Rural,Fourth
        1149,149,460654,4,2,1,10,5,0,0,0,0,0,Primary,Rural,Lowest
        1159,159,460654,3,0,1,10,5,0,1,0,3,0,Primary,Rural,Second
        1164,164,460654,5,0,1,10,5,0,1,0,1,0,Primary,Rural,Lowest
        1166,166,460654,3,0,1,10,5,0,0,0,1,0,Primary,Rural,Second
        1172,172,460654,9,4,1,10,5,0,0,0,4,0,Primary,Rural,Second
        1178,178,460654,6,2,1,10,5,0,0,0,0,0,Primary,Rural,Middle
        1196,196,460654,6,1,1,10,5,0,0,0,1,0,No_education,Rural,Lowest
        2 11,11,218087,6,1,2,6,4,1,1,0,2,0,Secondary,Rural,Highes
        2 17,17,218087,2,0,2,6,4,0,0,0,1,0,Primary,Rural,Fourth
        2 18,18,218087,3,0,2,6,4,1,1,0,2,0,Secondary,Rural,Highes
        2 19,19,218087,2,0,2,6,4,1,1,0,3,0,Secondary,Rural,Highes
        2 28,28,218087,4,1,2,6,4,0,0,0,2,0,Secondary,Rural,Highes
        2 33,33,218087,5,1,2,6,4,1,1,1,3,0,Primary,Rural,Highes
        2 35,35,218087,2,0,2,6,4,0,1,0,0,0,No_education,Rural,Highes
        2 53,53,218087,7,1,2,6,4,1,1,0,3,0,Primary,Rural,Highes
        2 63,63,218087,8,3,2,6,4,0,1,0,3,0,Higher_than,Rural,Fourth
        2 68,68,218087,3,1,2,6,4,0,1,1,2,0,Secondary,Rural,Fourth
        2 74,74,218087,6,2,2,6,4,0,1,0,3,0,Higher_than,Rural,Fourth
        2 89,89,218087,3,0,2,6,4,1,1,0,0,0,No_education,Rural,Highes
        2103,103,218087,5,2,2,6,4,1,1,0,4,0,Higher_than,Rural,Fourth
        2122,122,218087,3,0,2,6,4,1,0,0,0,0,Secondary,Rural,Highes
        2126,126,218087,5,1,2,6,4,1,1,0,3,0,Higher_than,Rural,Highes
        2128,128,218087,4,0,2,6,4,1,0,0,2,0,Higher_than,Rural,Highes
        2134,134,218087,1,0,2,6,4,0,0,0,0,0,Secondary,Rural,Highes
        2135,135,218087,2,0,2,6,4,1,0,0,0,0,Secondary,Rural,Highes
        2170,170,218087,1,0,2,6,4,1,0,0,1,0,Secondary,Rural,Highes
        2177,177,218087,2,0,2,6,4,1,1,1,0,0,Primary,Rural,Highes
        2180,180,218087,3,1,2,6,4,1,1,0,2,0,Secondary,Rural,Highes
        2181,181,218087,1,0,2,6,4,0,0,0,0,0,Primary,Rural,Fourth
        2199,199,218087,4,0,2,6,4,1,1,1,3,0,Secondary,Rural,Highes
        2201,201,218087,5,0,2,6,4,1,1,0,5,0,Higher_than,Rural,Highes
        3  9,9,1824833,2,0,3,6,4,0,0,0,0,0,No_education,Rural,Lowest
        3 18,18,1824833,9,2,3,6,4,0,0,0,3,0,Primary,Rural,Second
        3 39,39,1824833,6,3,3,6,4,0,0,0,1,0,Primary,Rural,Lowest
        3 65,65,1824833,5,0,3,6,4,1,0,0,0,0,Primary,Rural,Middle
        3 68,68,1824833,14,3,3,6,4,0,0,0,0,0,No_education,Rural,Lowest
        3 82,82,1824833,8,3,3,6,4,0,0,0,2,0,Primary,Rural,Middle
